measure_name,datum,country_id,country_name,first_year,last_year,footnotes,sources
"% of rural women aged 15–49 not wanting to avoid pregnancy",43,TR,Turkey,2019,n/a,"The categories of women who do not want to avoid pregnancy are those who are infecund, who are unmarried and not sexually active, who want to have a child in the next two years, who are experiencing a pregnancy they identify as intended or who are experiencing postpartum amenorrhea following an intended pregnancy. These women are considered to have no need for contraception","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of rural women aged 15–49 not wanting to avoid pregnancy",48,UA,Ukraine,2019,n/a,"The categories of women who do not want to avoid pregnancy are those who are infecund, who are unmarried and not sexually active, who want to have a child in the next two years, who are experiencing a pregnancy they identify as intended or who are experiencing postpartum amenorrhea following an intended pregnancy. These women are considered to have no need for contraception","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of rural women aged 15–49 who want to avoid pregnancy",42,AL,Albania,2019,n/a,"Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of rural women aged 15–49 who want to avoid pregnancy",49,AM,Armenia,2019,n/a,"Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of rural women aged 15–49 who want to avoid pregnancy",61,BY,Belarus,2019,n/a,"Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of rural women aged 15–49 who want to avoid pregnancy",47,BA,"Bosnia and Herzegovina",2019,n/a,"Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of rural women aged 15–49 who want to avoid pregnancy",65,BG,Bulgaria,2019,n/a,"Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of rural women aged 15–49 who want to avoid pregnancy",47,MK,"North Macedonia",2019,n/a,"Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of rural women aged 15–49 who want to avoid pregnancy",62,MD,"Republic of Moldova",2019,n/a,"Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of rural women aged 15–49 who want to avoid pregnancy",36,ME,Montenegro,2019,n/a,"Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of rural women aged 15–49 who want to avoid pregnancy",58,RO,Romania,2019,n/a,"Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of rural women aged 15–49 who want to avoid pregnancy",52,RS,Serbia,2019,n/a,"Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of rural women aged 15–49 who want to avoid pregnancy",57,TR,Turkey,2019,n/a,"Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of rural women aged 15–49 who want to avoid pregnancy",52,UA,Ukraine,2019,n/a,"Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of urban women aged 15–49 not wanting to avoid pregnancy",59,AL,Albania,2019,n/a,"The categories of women who do not want to avoid pregnancy are those who are infecund, who are unmarried and not sexually active, who want to have a child in the next two years, who are experiencing a pregnancy they identify as intended or who are experiencing postpartum amenorrhea following an intended pregnancy. These women are considered to have no need for contraception","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of urban women aged 15–49 not wanting to avoid pregnancy",54,AM,Armenia,2019,n/a,"The categories of women who do not want to avoid pregnancy are those who are infecund, who are unmarried and not sexually active, who want to have a child in the next two years, who are experiencing a pregnancy they identify as intended or who are experiencing postpartum amenorrhea following an intended pregnancy. These women are considered to have no need for contraception","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of urban women aged 15–49 not wanting to avoid pregnancy",32,BY,Belarus,2019,n/a,"The categories of women who do not want to avoid pregnancy are those who are infecund, who are unmarried and not sexually active, who want to have a child in the next two years, who are experiencing a pregnancy they identify as intended or who are experiencing postpartum amenorrhea following an intended pregnancy. These women are considered to have no need for contraception","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of urban women aged 15–49 not wanting to avoid pregnancy",51,BA,"Bosnia and Herzegovina",2019,n/a,"The categories of women who do not want to avoid pregnancy are those who are infecund, who are unmarried and not sexually active, who want to have a child in the next two years, who are experiencing a pregnancy they identify as intended or who are experiencing postpartum amenorrhea following an intended pregnancy. These women are considered to have no need for contraception","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of urban women aged 15–49 not wanting to avoid pregnancy",27,BG,Bulgaria,2019,n/a,"The categories of women who do not want to avoid pregnancy are those who are infecund, who are unmarried and not sexually active, who want to have a child in the next two years, who are experiencing a pregnancy they identify as intended or who are experiencing postpartum amenorrhea following an intended pregnancy. These women are considered to have no need for contraception","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of urban women aged 15–49 not wanting to avoid pregnancy",43,MK,"North Macedonia",2019,n/a,"The categories of women who do not want to avoid pregnancy are those who are infecund, who are unmarried and not sexually active, who want to have a child in the next two years, who are experiencing a pregnancy they identify as intended or who are experiencing postpartum amenorrhea following an intended pregnancy. These women are considered to have no need for contraception","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of urban women aged 15–49 not wanting to avoid pregnancy",38,MD,"Republic of Moldova",2019,n/a,"The categories of women who do not want to avoid pregnancy are those who are infecund, who are unmarried and not sexually active, who want to have a child in the next two years, who are experiencing a pregnancy they identify as intended or who are experiencing postpartum amenorrhea following an intended pregnancy. These women are considered to have no need for contraception","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of urban women aged 15–49 not wanting to avoid pregnancy",55,ME,Montenegro,2019,n/a,"The categories of women who do not want to avoid pregnancy are those who are infecund, who are unmarried and not sexually active, who want to have a child in the next two years, who are experiencing a pregnancy they identify as intended or who are experiencing postpartum amenorrhea following an intended pregnancy. These women are considered to have no need for contraception","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of urban women aged 15–49 not wanting to avoid pregnancy",38,RO,Romania,2019,n/a,"The categories of women who do not want to avoid pregnancy are those who are infecund, who are unmarried and not sexually active, who want to have a child in the next two years, who are experiencing a pregnancy they identify as intended or who are experiencing postpartum amenorrhea following an intended pregnancy. These women are considered to have no need for contraception","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of urban women aged 15–49 not wanting to avoid pregnancy",38,RS,Serbia,2019,n/a,"The categories of women who do not want to avoid pregnancy are those who are infecund, who are unmarried and not sexually active, who want to have a child in the next two years, who are experiencing a pregnancy they identify as intended or who are experiencing postpartum amenorrhea following an intended pregnancy. These women are considered to have no need for contraception","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of urban women aged 15–49 not wanting to avoid pregnancy",45,TR,Turkey,2019,n/a,"The categories of women who do not want to avoid pregnancy are those who are infecund, who are unmarried and not sexually active, who want to have a child in the next two years, who are experiencing a pregnancy they identify as intended or who are experiencing postpartum amenorrhea following an intended pregnancy. These women are considered to have no need for contraception","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of urban women aged 15–49 not wanting to avoid pregnancy",38,UA,Ukraine,2019,n/a,"The categories of women who do not want to avoid pregnancy are those who are infecund, who are unmarried and not sexually active, who want to have a child in the next two years, who are experiencing a pregnancy they identify as intended or who are experiencing postpartum amenorrhea following an intended pregnancy. These women are considered to have no need for contraception","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of urban women aged 15–49 who want to avoid pregnancy",41,AL,Albania,2019,n/a,"Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of urban women aged 15–49 who want to avoid pregnancy",46,AM,Armenia,2019,n/a,"Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of urban women aged 15–49 who want to avoid pregnancy",68,BY,Belarus,2019,n/a,"Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of urban women aged 15–49 who want to avoid pregnancy",49,BA,"Bosnia and Herzegovina",2019,n/a,"Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of urban women aged 15–49 who want to avoid pregnancy",73,BG,Bulgaria,2019,n/a,"Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of urban women aged 15–49 who want to avoid pregnancy",57,MK,"North Macedonia",2019,n/a,"Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of urban women aged 15–49 who want to avoid pregnancy",62,MD,"Republic of Moldova",2019,n/a,"Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of urban women aged 15–49 who want to avoid pregnancy",45,ME,Montenegro,2019,n/a,"Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of urban women aged 15–49 who want to avoid pregnancy",62,RO,Romania,2019,n/a,"Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of urban women aged 15–49 who want to avoid pregnancy",62,RS,Serbia,2019,n/a,"Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of urban women aged 15–49 who want to avoid pregnancy",55,TR,Turkey,2019,n/a,"Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of urban women aged 15–49 who want to avoid pregnancy",62,UA,Ukraine,2019,n/a,"Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of women aged 15–19 giving birth who do not deliver in a health facility",0,AL,Albania,2019,n/a,,"Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of women aged 15–19 giving birth who do not deliver in a health facility",0,AM,Armenia,2019,n/a,,"Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of women aged 15–19 giving birth who do not deliver in a health facility",0,BA,"Bosnia and Herzegovina",2019,n/a,,"Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of women aged 15–19 giving birth who do not deliver in a health facility",6,BG,Bulgaria,2019,n/a,,"Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of women aged 15–19 giving birth who do not deliver in a health facility",0,BY,Belarus,2019,n/a,,"Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of women aged 15–19 giving birth who do not deliver in a health facility",0,MD,"Republic of Moldova",2019,n/a,,"Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of women aged 15–19 giving birth who do not deliver in a health facility",0,ME,Montenegro,2019,n/a,,"Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of women aged 15–19 giving birth who do not deliver in a health facility",1,RO,Romania,2019,n/a,,"Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of women aged 15–19 giving birth who do not deliver in a health facility",2,RS,Serbia,2019,n/a,,"Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of women aged 15–19 giving birth who do not deliver in a health facility",3,TR,Turkey,2019,n/a,,"Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of women aged 15–19 giving birth who do not deliver in a health facility",0,UA,Ukraine,2019,n/a,,"Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of women aged 15–19 giving birth who do not deliver in a health facility",0,MK,"North Macedonia",2019,n/a,,"Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of women aged 15–19 giving birth who have <4 antenatal ",25,AL,Albania,2019,n/a,"Including at least one antenatal care visit with a skilled provider (midwife, nurse or doctor)","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of women aged 15–19 giving birth who have <4 antenatal ",5,AM,Armenia,2019,n/a,"Including at least one antenatal care visit with a skilled provider (midwife, nurse or doctor)","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"% of women aged 15–19 giving birth who have <4 antenatal ",40,BA,"Bosnia and Herzegovina",2019,n/a,"Including at least one antenatal care visit with a skilled provider (midwife, nurse or doctor)","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
